1,11,0,7.3081e-11,NaN
2,42,0,1.8193e-27,NaN
3,11,0,7.3081e-11,NaN
4,39,0.58704,2.2234,0.99986
5,7,0.28571,0.037253,0.99999
6,23,0.083004,2.2363e-07,1
7,8,0,1.3503e-19,NaN
8,27,0.25926,1.1047,0.99976
9,6,0.16667,0.0013896,1
10,8,0,1.3503e-19,NaN
11,15,0,3.7594e-23,NaN
12,6,0,5.9865e-14,NaN
13,11,0,7.3081e-11,NaN
14,NaN,NaN,NaN,NaN
16,5,0,4.6113e-13,NaN
17,43,0,4.783e-18,NaN
18,10,0.26667,0.14038,0.99993
19,37,0,1.0224e-25,NaN
20,22,0,8.0422e-22,NaN
21,9,0,7.1857e-12,NaN
22,41,0,2.0975e-16,NaN
23,9,0.19444,0.28638,0.99942
24,11,0,7.3081e-11,NaN
25,11,0,7.3081e-11,NaN
26,3,0,1.8506,NaN
27,39,235.26,539.16,0.97917
28,39,0,1.8686e-15,NaN
29,7,0,7.8584e-22,NaN
30,15,0,3.7594e-23,NaN
33,29,0.46552,5.002,0.9978
34,19,0.24561,1.0007,0.99941
35,6,0,5.9865e-14,NaN
36,38,13.405,56.827,0.99561
37,33,1.9337,4.9306,0.99965
38,15,0.26667,0.78303,0.99932
39,14,0.18132,0.059126,0.99999
40,31,0,2.9952e-23,NaN
41,18,0,3.967e-17,NaN
42,4,0,6.2092e-17,NaN
43,7,0.14286,0.8,0.98694
44,22,0,8.0422e-22,NaN
45,10,0.62222,0.7552,0.99908
46,46,0,1.9968e-27,NaN
47,25,1.6433,3.9806,0.99938
48,45,3.9616,8.5327,0.9998
49,49,0,5.3248e-26,NaN
50,7,0.57143,4,0.91837
51,41,0,2.0975e-16,NaN
52,13,0,1.4368e-15,NaN
53,17,0,4.6683e-18,NaN
54,22,0.15584,0.25177,0.99996
55,23,0,7.3212e-22,NaN
56,29,0,9.8805e-23,NaN
57,17,0,4.6683e-18,NaN
58,14,0.071429,6.1683e-09,1
59,5,0,4.6113e-13,NaN
60,18,0,3.967e-17,NaN
61,16,0.0625,0.85444,0.99715
63,12,0,3.4115e-15,NaN
64,4,0,6.2092e-17,NaN
65,9,0,7.1857e-12,NaN
66,NaN,NaN,NaN,NaN
67,NaN,NaN,NaN,NaN
68,17,0.99265,3.075,0.99806
69,8,0,1.3503e-19,NaN
70,10,0,1.3428e-15,NaN
71,7,0,7.8584e-22,NaN
72,NaN,NaN,NaN,NaN
73,20,0,6.4549e-22,NaN
74,49,0.058673,3.5184e-08,1
75,15,0,3.7594e-23,NaN
76,46,0,1.9968e-27,NaN
77,30,0.30345,0.30402,0.99999
78,27,3.6781,2.8729,0.99989
79,7,0.28571,2.588e-06,1
80,28,0.46958,3.677,0.99869
81,NaN,NaN,NaN,NaN
82,18,0.26471,6.3715e-05,1
83,20,0.58947,1.8425,0.99928
84,3,0.33333,0.16755,0.99688
85,8,0.5,4.3333,0.92665
86,6,0,5.9865e-14,NaN
87,14,0,3.3255e-21,NaN
88,NaN,NaN,NaN,NaN
89,6,0,5.9865e-14,NaN
90,19,0.59649,2.1344,0.99889
91,NaN,NaN,NaN,NaN
92,28,2.9153,5.0978,0.99959
93,19,0.17544,2.4133,0.99516
94,15,0,3.7594e-23,NaN
95,8,0,1.3503e-19,NaN
96,19,0.59649,3.8824,0.99632
97,10,0.23333,0.52098,0.99884
100,21,0.19048,6.7381e-07,1
101,17,0.11029,1.729,0.99448
103,6,0,5.9865e-14,NaN
104,5,9.3,1.1166,0.99893
